,0
667,990697.5357965735
668,990697.5357965735
669,990697.5357965735
670,990697.5357965735
671,990697.5357965735
672,990697.5357965735
673,990697.5357965735
674,990697.5357965735
675,990697.5357965735
676,990697.5357965735
677,991173.7182218542
678,991173.7182218542
679,991054.5581210823
680,991054.5581210823
681,991054.5581210823
682,991054.5581210823
683,991054.5581210823
684,991054.5581210823
685,991054.5581210823
686,991054.5581210823
687,991054.5581210823
688,991054.5581210823
689,991054.5581210823
690,991054.5581210823
691,991054.5581210823
692,991054.5581210823
693,991173.6895741561
694,991173.6895741561
695,991173.6895741561
696,991173.6895741561
697,991173.6895741561
698,991173.6895741561
699,991173.6895741561
700,991173.6895741561
701,991173.6895741561
702,991173.6895741561
703,991173.6895741561
704,991173.6895741561
705,991173.6895741561
706,991292.8496714842
707,991292.8496714842
708,991292.8496714842
709,991292.8496714842
710,991412.0384233986
711,991412.0384233986
712,991412.0384233986
713,991412.0384233986
714,991412.0384233986
715,991769.6906739121
716,991769.6906739121
717,991769.6906739121
718,991769.6906739121
719,991769.6906739121
720,991769.6906739121
721,991769.6906739121
722,992246.9045272376
723,992246.9045272376
724,992127.4861971707
725,992127.4861971707
726,992127.4861971707
727,992008.0966079772
728,992246.8183253655
729,992246.8183253655
730,992246.8183253655
731,992246.8183253655
732,991530.3084072103
733,991530.3084072103
734,991649.5543853712
735,991888.1037128633
736,991888.1037128633
737,991888.1037128633
738,991888.1037128633
739,991888.1037128633
740,991888.1037128633
741,991888.1037128633
742,991888.1037128633
743,991888.1037128633
744,991888.1037128633
745,991888.1037128633
746,991291.4434002353
747,991410.6319830657
748,991410.6319830657
749,991410.6319830657
750,991291.4147353525
751,991291.4147353525
752,991410.6033147365
753,991410.6033147365
754,991410.6033147365
755,991410.6033147365
756,991410.6033147365
757,991410.6033147365
758,991410.6033147365
759,991410.6033147365
760,991410.6033147365
761,991410.6033147365
762,991410.6033147365
763,991052.951581939
764,991052.951581939
765,991052.951581939
766,991052.951581939
767,991052.951581939
768,991052.951581939
769,991052.951581939
770,991052.951581939
771,991052.951581939
772,991052.951581939
773,991052.951581939
774,991052.951581939
775,991052.951581939
776,991052.951581939
777,991529.4766217667
778,991410.2307436403
779,991410.2307436403
780,991410.2307436403
781,991410.2307436403
782,991410.2307436403
783,991410.2307436403
784,991410.2307436403
785,991410.2307436403
786,991410.2307436403
787,991410.2307436403
788,991410.2307436403
789,991410.2307436403
790,991410.2307436403
791,991410.2307436403
792,991171.7963447119
793,991052.6364749904
794,991052.6364749904
795,991052.6364749904
796,991052.6364749904
797,991052.6364749904
798,991052.6364749904
799,991052.6364749904
800,991052.6364749904
801,991052.6364749904
802,991052.6364749904
803,991052.6364749904
804,991052.6364749904
805,991052.6364749904
806,991052.6364749904
807,990933.5052529114
808,990814.4026681455
809,990695.3287103677
810,990695.3287103677
811,990219.1473459309
812,990219.1473459309
813,990219.1473459309
814,990219.1473459309
815,990219.1473459309
816,990219.1473459309
817,990219.1473459309
818,989981.2854320838
819,989981.2854320838
820,989981.2854320838
821,990219.0330990943
822,990337.9640422964
823,990337.9640422964
824,990337.9640422964
825,990337.9640422964
826,990337.9640422964
827,990337.9640422964
828,990813.8021030976
829,990813.8021030976
830,990813.8021030976
831,990813.8021030976
832,990813.8021030976
833,990456.5804462883
834,990456.5804462883
835,990813.5446151181
836,990813.5446151181
837,990813.5446151181
838,990813.5446151181
839,990813.5446151181
840,990813.5446151181
841,990813.5446151181
842,990813.5446151181
843,990813.5446151181
844,990813.5446151181
845,990813.5446151181
846,990813.5446151181
847,990813.5446151181
848,990813.5446151181
849,991408.9138884116
850,991408.9138884116
851,991408.9138884116
852,991408.9138884116
853,991408.9138884116
854,991408.9138884116
855,991408.9138884116
856,991408.9138884116
857,991408.9138884116
858,991408.9138884116
859,991408.9138884116
860,991408.9138884116
861,991408.9138884116
862,991408.9138884116
863,991528.1309295236
864,991528.1309295236
865,991528.1309295236
866,991528.1309295236
867,991528.1309295236
868,991528.1309295236
869,991528.1309295236
870,991528.1309295236
871,991528.1309295236
872,991528.1309295236
873,991528.1309295236
874,991528.1309295236
875,991528.1309295236
876,991647.376645811
877,991647.376645811
878,991885.9254494302
879,991885.9254494302
880,991885.9254494302
881,991885.9254494302
882,991885.9254494302
883,991885.9254494302
884,991885.9254494302
885,991885.9254494302
886,992124.5890503566
887,991766.4213286778
888,991766.4213286778
889,991766.4213286778
890,991527.8151885769
891,991527.8151885769
892,991527.8151885769
893,991527.8151885769
894,991527.8151885769
895,991527.8151885769
896,991527.8151885769
897,991527.8151885769
898,991527.8151885769
899,991527.8151885769
900,991170.0781536321
